I have never been there,Я никогда там не был,никогда
It's supposed to work,Это должно работать,должно
He can't have meant it,Он не мог это всерьёз,мог
You're bound to succeed,Ты непременно добьёшься успеха,непременно
We'd just sat down,Мы только что сели,только
She's sure to know,Она точно знает,точно
I was to call you,Я должен был позвонить тебе,должен
They might be lying,Они возможно лгут,возможно
You ought to apologize,Тебе следует извиниться,следовало
We're not to enter,Нам нельзя входить,нельзя
It happens to be true,Это случайно оказалось правдой,оказалось
He'd rather not say,Он бы предпочёл не говорить,предпочёл
She must have left,Она наверное ушла,наверное
We were seen talking,Нас видели разговаривающими,видели
You're likely to forget,Ты вероятно забудешь,вероятно
They're supposed to help,Они должны помогать,должны
I might be wrong,Возможно я ошибаюсь,возможно
She's bound to notice,Она непременно заметит,непременно
We'd better decide soon,Нам лучше скоро решить,лучше
You can't have seen,Ты не мог видеть,мог
It was to be expected,Этого следовало ожидать,следовало
He seems to understand,Он кажется понимает,кажется
I wish I were there,Жаль что меня там нет,жаль
They're likely to refuse,Они вероятно откажутся,вероятно
We're about to leave,Мы собираемся уйти,собираемся
She's not to be disturbed,Её нельзя беспокоить,нельзя
I'd rather not go,Я бы предпочёл не идти,предпочёл
They must be joking,Они наверное шутят,наверное
You're supposed to know,Ты должен знать,должен
We've run out of time,У нас закончилось время,закончилось
It needs considering,Это требует рассмотрения,требует
He happens to be free,Он случайно свободен,случайно
She's sure to arrive,Она точно приедет,точно
We could try again,Мы могли бы попробовать снова,могли
You'd better hurry,Тебе лучше поторопиться,лучше
The plan fell through,План провалился,провалился
She's prone to exaggerating,Она склонна преувеличивать,склонна
We're pressed for time,Мы ограничены во времени,ограничены
It slipped my mind,Это вылетело у меня из головы,вылетело
He talks down to people,Он снисходительно разговаривает,снисходительно
She came across as rude,Она показалась грубой,показалась
We're getting nowhere,Мы не продвигаемся,продвигаемся
It's a long shot,Это маловероятно,маловероятно
He dodged the question,Он уклонился от вопроса,уклонился
She's burning out,Она выгорает,выгорает
